ID,Shape,Layout,Area,MainArea,Age,Floor,TopSchool,Parking,Balcony,LowStruct,DisTrict,Road,Money
151,電梯大樓,3房1廳1衛,權狀27.28坪,主建15.76坪,22年,12F/14F,0.0,0.0,0.0,0.0,左營區-,政德路,838
152,電梯大樓,4房2廳2衛,權狀57.49坪,主建33.26坪,24年,14F/14F,0.0,1.0,1.0,1.0,楠梓區-,新泰街,"1,588"
153,透天厝,5房2廳4衛,權狀68.08坪,主建58.36坪,6年,1F~4F/4F,0.0,1.0,0.0,0.0,鼓山區-,裕興路37巷,"2,388"
154,透天厝,6房2廳5衛,權狀91.16坪,主建91.16坪,47年,整棟/3F,0.0,0.0,0.0,0.0,三民區-,河堤路,"3,580"
155,電梯大樓,2房2廳2衛,權狀39.53坪,主建14.48坪,2年,6F/12F,0.0,1.0,1.0,0.0,楠梓區-,金富街,"1,398"
156,電梯大樓,2房1廳1衛,權狀30.21坪,主建15.38坪,27年,8F/14F,0.0,1.0,1.0,1.0,左營區-,華夏路,998
157,公寓,3房2廳2衛,權狀38.11坪,主建38.11坪,36年,1F/5F,0.0,1.0,1.0,0.0,鼓山區-,龍水二路,"1,180"
158,公寓,3房2廳1衛,權狀23.99坪,主建23.99坪,47年,3F/4F,0.0,0.0,1.0,0.0,三民區-,民族一路,498
159,電梯大樓,3房2廳2衛,權狀66.88坪,主建35.61坪,8年,3F/24F,0.0,1.0,1.0,0.0,楠梓區-,土庫二路228巷,"2,688"
160,電梯大樓,3房2廳2衛,權狀49.49坪,主建28.36坪,27年,3F/24F,0.0,1.0,1.0,0.0,左營區-,至聖路,"1,280"
161,電梯大樓,3房2廳2衛,權狀41.35坪,主建23.27坪,29年,6F/9F,0.0,1.0,0.0,0.0,楠梓區-,盛昌街,"1,350"
163,電梯大樓,3房2廳2衛,權狀42.11坪,主建18.77坪,8年,13F/15F,0.0,1.0,1.0,0.0,三民區-,建國二路,"1,280"
164,公寓,3房2廳2衛,權狀23.67坪,主建23.67坪,43年,1F/5F,0.0,0.0,1.0,0.0,鼓山區-,龍德路,980
165,電梯大樓,2房2廳1衛,權狀23.78坪,主建12.17坪,2年,3F/14F,0.0,0.0,1.0,0.0,三民區-,十全三路,748
166,公寓,3房2廳2衛,權狀25.44坪,主建21.73坪,39年,1F/5F,0.0,0.0,0.0,0.0,鼓山區-,文忠路,998
167,電梯大樓,3房2廳2衛,權狀43.49坪,主建18.65坪,2年,4F/22F,0.0,1.0,1.0,0.0,楠梓區-,新昌街,"1,558"
168,電梯大樓,4房2廳2衛,權狀43.03坪,主建27.51坪,24年,10F/21F,0.0,0.0,0.0,1.0,鼓山區-,美術東八街,"1,268"
169,電梯大樓,4房2廳2衛,權狀44.72坪,主建32.41坪,34年,3F/13F,0.0,0.0,0.0,0.0,三民區-,建國三路,988
170,別墅,5房3廳5衛,權狀95.23坪,主建88.55坪,17年,整棟/5F,0.0,0.0,0.0,0.0,鼓山區-,明誠四路,"3,600"
171,透天厝,5房2廳3衛,權狀20.91坪,主建20.91坪,46年,整棟/2F,0.0,0.0,1.0,0.0,三民區-,十全三路,"1,688"
172,電梯大樓,開放式格局,權狀37.01坪,主建14.37坪,不詳,17F/33F,0.0,0.0,0.0,0.0,鼓山區-,美術東四路,"1,678"
173,電梯大樓,2房1廳1衛,權狀30.02坪,主建13.4坪,3年,20F/22F,0.0,1.0,1.0,0.0,三民區-,明誠一路,"1,198"
174,電梯大樓,1房1廳2衛,權狀38.2坪,主建16.4坪,1個月,16F/24F,1.0,1.0,1.0,0.0,鼓山區-,文忠路,"1,580"
175,電梯大樓,4房2廳2衛,權狀42.45坪,主建27.11坪,23年,6F/13F,0.0,0.0,1.0,1.0,鼓山區-,美術東六街,"1,298"
176,電梯大樓,2房1廳1衛,權狀28.1坪,主建14.46坪,28年,2F/10F,0.0,0.0,0.0,0.0,鼓山區-,美術東二路,898
177,電梯大樓,2房2廳2衛,權狀37.29坪,主建23.97坪,18年,11F/14F,0.0,0.0,1.0,0.0,鼓山區-,龍勝路,"1,260"
178,電梯大樓,2房2廳1衛,權狀39.94坪,主建18.65坪,19年,13F/14F,0.0,1.0,1.0,1.0,鼓山區-,青海路,"1,498"
179,電梯大樓,2房1廳1衛,權狀24.07坪,主建14.8坪,18年,6F/15F,1.0,0.0,1.0,0.0,鼓山區-,美術東四路,898
180,電梯大樓,3房2廳2衛,權狀58.01坪,主建25.06坪,8個月,13F/15F,0.0,0.0,0.0,0.0,鼓山區-,逢甲路,"2,860"
181,電梯大樓,3房2廳2衛,權狀50.44坪,主建28.83坪,17年,15F/15F,1.0,1.0,1.0,0.0,楠梓區-,創新路,"1,785"
182,電梯大樓,4房2廳2衛,權狀50坪,主建25.53坪,22年,7F/14F,0.0,1.0,1.0,0.0,鼓山區-,大順一路909巷,"1,750"
183,電梯大樓,3房2廳2衛,權狀42.55坪,主建20.69坪,11年,10F/11F,0.0,1.0,0.0,0.0,苓雅區-,海邊路,"1,280"
