Shape,Area,MainArea,Age,TopSchool,Parking,Balcony,LowStruct,DisTrict,Money,Room,LivingRoom,Bathroom,Floor_min,Floor_max
電梯大樓,37.2,16.08,6.0,0.0,1.0,1.0,0.0,楠梓區,1398.0,2.0,2.0,1.0,2,13
電梯大樓,55.09,28.5,4.0,0.0,1.0,1.0,0.0,鼓山區,1688.0,3.0,2.0,2.0,3,13
透天厝,22.53,20.8,46.0,0.0,1.0,1.0,0.0,鼓山區,980.0,3.0,2.0,2.0,All,3
電梯大樓,57.09,33.13,28.0,1.0,1.0,1.0,0.0,鼓山區,1680.0,4.0,2.0,2.0,4,16
電梯大樓,76.0,34.96,1.0,0.0,1.0,0.0,0.0,鼓山區,3968.0,3.0,2.0,2.0,19,27
電梯大樓,64.81,33.9,18.0,1.0,1.0,1.0,0.0,小港區,2980.0,4.0,2.0,2.0,13,15
電梯大樓,91.42,49.67,16.0,0.0,1.0,0.0,0.0,苓雅區,2893.0,4.0,2.0,2.0,26,27
透天厝,57.41,51.26,28.0,0.0,0.0,0.0,0.0,鹽埕區,698.0,4.0,3.0,3.0,All,4
別墅,74.34,59.61,18.0,0.0,0.0,1.0,0.0,旗山區,3998.0,6.0,2.0,4.0,All,5
透天厝,57.31,48.28,29.0,0.0,0.0,0.0,0.0,岡山區,1700.0,7.0,2.0,5.0,All,6
公寓,23.96,20.96,51.0,0.0,0.0,1.0,0.0,鹽埕區,538.0,3.0,2.0,1.0,3,4
透天厝,58.73,54.92,1.0,0.0,0.0,1.0,0.0,大寮區,2088.0,3.0,2.0,4.0,All,5
電梯大樓,25.41,14.59,0.0833333333333333,0.0,1.0,1.0,1.0,新興區,1598.0,2.0,2.0,1.0,34,37
電梯大樓,98.78,66.79,28.0,0.0,0.0,0.0,0.0,苓雅區,1988.0,5.0,3.0,4.0,16,26
電梯大樓,34.95,30.93,42.0,0.0,0.0,0.0,0.0,鳥松區,698.0,3.0,2.0,2.0,4,12
別墅,97.33,94.32,12.0,0.0,0.0,0.0,0.0,大寮區,3980.0,6.0,2.0,6.0,All,4
透天厝,49.36,43.07,11.0,0.0,1.0,0.0,0.0,鹽埕區,2080.0,4.0,2.0,4.0,All,4
公寓,17.59,17.59,46.0,0.0,0.0,1.0,0.0,前金區,438.0,3.0,2.0,2.0,4,5
電梯大樓,62.42,35.07,17.0,0.0,1.0,0.0,0.0,鹽埕區,1388.0,4.0,2.0,2.0,9,12
電梯大樓,12.21,8.49,44.0,0.0,0.0,0.0,1.0,大寮區,320.0,1.0,1.0,1.0,3,12
公寓,20.43,20.43,44.0,0.0,0.0,0.0,0.0,苓雅區,498.0,3.0,2.0,1.0,5,5
電梯大樓,33.66,14.59,6.0,0.0,0.0,1.0,0.0,仁武區,988.0,2.0,2.0,1.0,9,15
電梯大樓,48.9,25.95,22.0,0.0,1.0,1.0,1.0,前鎮區,2480.0,2.0,2.0,2.0,12,24
別墅,33.8,29.69,37.0,0.0,1.0,1.0,0.0,橋頭區,1398.0,5.0,2.0,3.0,All,5
電梯大樓,71.72,35.43,6.0,0.0,1.0,1.0,0.0,仁武區,2798.0,3.0,2.0,2.0,8,24
電梯大樓,46.12,22.21,1.0,0.0,1.0,1.0,0.0,苓雅區,1398.0,3.0,2.0,2.0,6,15
透天厝,55.68,46.54,16.0,0.0,0.0,0.0,0.0,小港區,1866.0,5.0,2.0,3.0,All,4
別墅,110.49,104.81,7.0,0.0,1.0,1.0,0.0,仁武區,4280.0,5.0,3.0,4.0,All,4
別墅,82.3,77.05,9.0,0.0,0.0,1.0,0.0,前鎮區,2280.0,6.0,2.0,5.0,All,4
